,id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,looser,win_by_runs,win_by_wickets,palyer_of_match,venue,umpire1,umpire2
84,85,2008,Chennai,5/6/2008,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,Chennai Super Kings,0,7,AC Gilchrist,"MA Chidambaram Stadium, Chepauk",MR Benson,RB Tiffin
85,86,2008,Mumbai,5/7/2008,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,Rajasthan Royals,0,7,A Nehra,Dr DY Patil Sports Academy,DJ Harper,RE Koertzen
86,87,2008,Delhi,5/8/2008,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,Delhi Capitals,0,4,MS Dhoni,Feroz Shah Kotla,Aleem Dar,RB Tiffin
87,88,2008,Kolkata,5/8/2008,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,Royal Challengers Bangalore,5,0,SC Ganguly,Eden Gardens,Asad Rauf,IL Howell
88,89,2008,Jaipur,5/9/2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,Deccan Chargers,0,8,YK Pathan,Sawai Mansingh Stadium,MR Benson,AM Saheba
89,90,2008,Bangalore,5/28/2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,Royal Challengers Bangalore,0,9,CRD Fernando,M Chinnaswamy Stadium,BF Bowden,AV Jayaprakash
90,91,2008,Chennai,5/10/2008,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,normal,0,Chennai Super Kings,Kings XI Punjab,18,0,L Balaji,"MA Chidambaram Stadium, Chepauk",AV Jayaprakash,BG Jerling
91,92,2008,Hyderabad,5/11/2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,Deccan Chargers,23,0,SC Ganguly,"Rajiv Gandhi International Stadium, Uppal",IL Howell,AM Saheba
92,93,2008,Jaipur,5/11/2008,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,Delhi Capitals,0,3,SR Watson,Sawai Mansingh Stadium,SJ Davis,RE Koertzen
93,94,2008,Chandigarh,5/12/2008,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Kings XI Punjab,Royal Challengers Bangalore,0,9,SE Marsh,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,I Shivram
94,95,2008,Kolkata,5/13/2008,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,Delhi Capitals,23,0,Shoaib Akhtar,Eden Gardens,Asad Rauf,IL Howell
95,96,2008,Mumbai,5/14/2008,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,Chennai Super Kings,0,9,ST Jayasuriya,Wankhede Stadium,BR Doctrove,AM Saheba
96,97,2008,Chandigarh,5/28/2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Kings XI Punjab,Rajasthan Royals,41,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali",SJ Davis,K Hariharan
97,98,2008,Delhi,5/15/2008,Delhi Capitals,Deccan Chargers,Deccan Chargers,field,normal,0,Delhi Capitals,Deccan Chargers,12,0,A Mishra,Feroz Shah Kotla,BG Jerling,GA Pratapkumar
98,99,2008,Mumbai,5/16/2008,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,Kolkata Knight Riders,0,8,SM Pollock,Wankhede Stadium,BR Doctrove,DJ Harper
99,100,2008,Delhi,5/17/2008,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,normal,1,Kings XI Punjab,Delhi Capitals,6,0,DPMD Jayawardene,Feroz Shah Kotla,AV Jayaprakash,RE Koertzen
100,101,2008,Jaipur,5/17/2008,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Rajasthan Royals,Royal Challengers Bangalore,65,0,GC Smith,Sawai Mansingh Stadium,BF Bowden,SL Shastri
101,102,2008,Hyderabad,5/18/2008,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,Mumbai Indians,Deccan Chargers,25,0,DJ Bravo,"Rajiv Gandhi International Stadium, Uppal",BR Doctrove,DJ Harper
102,103,2008,Kolkata,5/18/2008,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,1,Chennai Super Kings,Kolkata Knight Riders,3,0,M Ntini,Eden Gardens,Asad Rauf,K Hariharan
103,104,2008,Bangalore,5/19/2008,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,Royal Challengers Bangalore,0,5,SP Goswami,M Chinnaswamy Stadium,SJ Davis,GA Pratapkumar
104,105,2008,Kolkata,5/20/2008,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,Kolkata Knight Riders,0,6,YK Pathan,Eden Gardens,BG Jerling,RE Koertzen
105,106,2008,Mumbai,5/21/2008,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings XI Punjab,Mumbai Indians,1,0,SE Marsh,Wankhede Stadium,BF Bowden,GA Pratapkumar
106,107,2008,Chennai,5/21/2008,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,Chennai Super Kings,14,0,A Kumble,"MA Chidambaram Stadium, Chepauk",DJ Harper,I Shivram
107,108,2008,Chandigarh,5/23/2008,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,Deccan Chargers,0,6,SE Marsh,"Punjab Cricket Association Stadium, Mohali",Asad Rauf,SJ Davis
108,109,2008,Delhi,5/24/2008,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,Mumbai Indians,0,5,KD Karthik,Feroz Shah Kotla,BF Bowden,K Hariharan
109,110,2008,Chennai,5/24/2008,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Rajasthan Royals,Chennai Super Kings,10,0,JA Morkel,"MA Chidambaram Stadium, Chepauk",DJ Harper,SL Shastri
110,111,2008,Bangalore,5/3/2008,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,normal,0,Royal Challengers Bangalore,Deccan Chargers,3,0,P Kumar,M Chinnaswamy Stadium,BR Doctrove,SL Shastri
111,112,2008,Kolkata,5/25/2008,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,0,Kolkata Knight Riders,Kings XI Punjab,0,3,Umar Gul,Eden Gardens,SJ Davis,I Shivram
112,113,2008,Jaipur,5/26/2008,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,Mumbai Indians,0,5,Sohail Tanvir,Sawai Mansingh Stadium,BF Bowden,K Hariharan
113,114,2008,Hyderabad,5/27/2008,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,normal,0,Chennai Super Kings,Deccan Chargers,0,7,SK Raina,"Rajiv Gandhi International Stadium, Uppal",BG Jerling,AM Saheba
114,115,2008,Mumbai,5/30/2008,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,normal,0,Rajasthan Royals,Delhi Capitals,105,0,SR Watson,Wankhede Stadium,BF Bowden,RE Koertzen
115,116,2008,Mumbai,5/31/2008,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,normal,0,Chennai Super Kings,Kings XI Punjab,0,9,M Ntini,Wankhede Stadium,Asad Rauf,DJ Harper
116,117,2008,Mumbai,6/1/2008,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,Chennai Super Kings,0,3,YK Pathan,Dr DY Patil Sports Academy,BF Bowden,RE Koertzen
117,118,2009,Cape Town,4/18/2009,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Mumbai Indians,Chennai Super Kings,19,0,SR Tendulkar,Newlands,BR Doctrove,K Hariharan
118,119,2009,Cape Town,4/18/2009,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,Rajasthan Royals,75,0,R Dravid,Newlands,BR Doctrove,RB Tiffin
119,120,2009,Cape Town,4/19/2009,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,normal,1,Delhi Capitals,Kings XI Punjab,0,10,DL Vettori,Newlands,MR Benson,SD Ranade
120,121,2009,Cape Town,4/19/2009,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,0,Deccan Chargers,Kolkata Knight Riders,0,8,RP Singh,Newlands,MR Benson,BR Doctrove
121,122,2009,Port Elizabeth,4/20/2009,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Chennai Super Kings,Royal Challengers Bangalore,92,0,M Muralitharan,St George's Park,BG Jerling,SJA Taufel
122,123,2009,Durban,4/21/2009,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,1,Kolkata Knight Riders,Kings XI Punjab,11,0,CH Gayle,Kingsmead,DJ Harper,SD Ranade
123,124,2009,Cape Town,4/22/2009,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,normal,0,Deccan Chargers,Royal Challengers Bangalore,24,0,AC Gilchrist,Newlands,Marais Erasmus,AM Saheba
124,125,2009,Durban,4/23/2009,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,normal,0,Delhi Capitals,Chennai Super Kings,9,0,AB de Villiers,Kingsmead,BR Doctrove,SJA Taufel
125,126,2009,Cape Town,4/23/2009,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,tie,0,Rajasthan Royals,Kolkata Knight Riders,0,0,YK Pathan,Newlands,MR Benson,Marais Erasmus
126,127,2009,Durban,4/24/2009,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Kings XI Punjab,Royal Challengers Bangalore,0,7,RS Bopara,Kingsmead,BR Doctrove,TH Wijewardene
127,128,2009,Durban,4/25/2009,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,normal,0,Deccan Chargers,Mumbai Indians,12,0,PP Ojha,Kingsmead,Kumar Dharmasena,SJA Taufel
128,129,2009,Port Elizabeth,4/26/2009,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,normal,0,Delhi Capitals,Royal Challengers Bangalore,0,6,TM Dilshan,St George's Park,S Asnani,BG Jerling
129,130,2009,Cape Town,4/26/2009,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,normal,0,Kings XI Punjab,Rajasthan Royals,27,0,KC Sangakkara,Newlands,Marais Erasmus,K Hariharan
130,131,2009,Durban,4/27/2009,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,Chennai Super Kings,0,6,HH Gibbs,Kingsmead,IL Howell,TH Wijewardene
131,132,2009,Port Elizabeth,4/27/2009,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,Mumbai Indians,Kolkata Knight Riders,92,0,SR Tendulkar,St George's Park,BG Jerling,RB Tiffin
132,133,2009,Centurion,4/28/2009,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,normal,0,Rajasthan Royals,Delhi Capitals,0,5,YK Pathan,SuperSport Park,GAV Baxter,RE Koertzen
133,134,2009,Durban,4/29/2009,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,0,Royal Challengers Bangalore,Kolkata Knight Riders,0,5,MV Boucher,Kingsmead,MR Benson,TH Wijewardene
134,135,2009,Durban,4/29/2009,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,normal,0,Kings XI Punjab,Mumbai Indians,3,0,KC Sangakkara,Kingsmead,MR Benson,SL Shastri
135,136,2009,Centurion,4/30/2009,Deccan Chargers,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,Deccan Chargers,0,6,DP Nannes,SuperSport Park,GAV Baxter,AM Saheba
136,137,2009,Centurion,4/30/2009,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Chennai Super Kings,Rajasthan Royals,38,0,SK Raina,SuperSport Park,GAV Baxter,RE Koertzen
137,138,2009,East London,5/1/2009,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,Mumbai Indians,Kolkata Knight Riders,9,0,JP Duminy,Buffalo Park,Marais Erasmus,SK Tarapore
138,139,2009,Durban,5/1/2009,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,Kings XI Punjab,8,0,Yuvraj Singh,Kingsmead,Kumar Dharmasena,S Ravi
139,140,2009,Port Elizabeth,5/2/2009,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,0,Rajasthan Royals,Deccan Chargers,0,3,YK Pathan,St George's Park,S Asnani,BG Jerling
140,141,2009,Johannesburg,5/2/2009,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,normal,0,Chennai Super Kings,Delhi Capitals,18,0,SB Jakati,New Wanderers Stadium,DJ Harper,RE Koertzen
141,142,2009,Port Elizabeth,5/3/2009,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,normal,0,Kings XI Punjab,Kolkata Knight Riders,0,6,DPMD Jayawardene,St George's Park,S Asnani,MR Benson
142,143,2009,Johannesburg,5/3/2009,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,Mumbai Indians,0,9,JH Kallis,New Wanderers Stadium,RE Koertzen,TH Wijewardene
143,144,2009,East London,5/4/2009,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,0,Chennai Super Kings,Deccan Chargers,78,0,MS Dhoni,Buffalo Park,BR Doctrove,Marais Erasmus
144,145,2009,Durban,5/5/2009,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,0,Rajasthan Royals,Kings XI Punjab,78,0,GC Smith,Kingsmead,SS Hazare,IL Howell
145,146,2009,Durban,5/5/2009,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,normal,0,Delhi Capitals,Kolkata Knight Riders,0,9,G Gambhir,Kingsmead,GAV Baxter,IL Howell
146,147,2009,Centurion,5/6/2009,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,normal,0,Deccan Chargers,Mumbai Indians,19,0,RG Sharma,SuperSport Park,MR Benson,Kumar Dharmasena
147,148,2009,Centurion,5/7/2009,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,Royal Challengers Bangalore,0,7,A Singh,SuperSport Park,K Hariharan,DJ Harper
148,149,2009,Centurion,5/7/2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,1,Chennai Super Kings,Kings XI Punjab,12,0,ML Hayden,SuperSport Park,DJ Harper,TH Wijewardene
149,150,2009,East London,5/8/2009,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,normal,0,Delhi Capitals,Mumbai Indians,0,7,A Nehra,Buffalo Park,Marais Erasmus,SK Tarapore
150,151,2009,Kimberley,5/9/2009,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,Deccan Chargers,0,3,DPMD Jayawardene,De Beers Diamond Oval,GAV Baxter,AM Saheba
151,152,2009,Kimberley,5/9/2009,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Chennai Super Kings,Rajasthan Royals,0,7,S Badrinath,De Beers Diamond Oval,GAV Baxter,Kumar Dharmasena
152,153,2009,Port Elizabeth,5/10/2009,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Mumbai Indians,Royal Challengers Bangalore,16,0,JP Duminy,St George's Park,BR Doctrove,BG Jerling
153,154,2009,Johannesburg,5/10/2009,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,Kolkata Knight Riders,0,7,A Mishra,New Wanderers Stadium,SL Shastri,RB Tiffin
154,155,2009,Kimberley,5/11/2009,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,0,Deccan Chargers,Rajasthan Royals,53,0,DR Smith,De Beers Diamond Oval,GAV Baxter,Kumar Dharmasena
155,156,2009,Centurion,5/12/2009,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,Kolkata Knight Riders,0,6,LRPL Taylor,SuperSport Park,Marais Erasmus,SS Hazare
156,157,2009,Centurion,5/12/2009,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,normal,0,Mumbai Indians,Kings XI Punjab,0,8,Harbhajan Singh,SuperSport Park,SS Hazare,RE Koertzen
157,158,2009,Durban,5/13/2009,Delhi Capitals,Deccan Chargers,Deccan Chargers,field,normal,0,Delhi Capitals,Deccan Chargers,12,0,R Bhatia,Kingsmead,DJ Harper,SL Shastri
158,159,2009,Durban,5/14/2009,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Royal Challengers Bangalore,Chennai Super Kings,0,2,LRPL Taylor,Kingsmead,BR Doctrove,DJ Harper
159,160,2009,Durban,5/14/2009,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,0,Rajasthan Royals,Mumbai Indians,2,0,SK Warne,Kingsmead,BR Doctrove,DJ Harper
160,161,2009,Bloemfontein,5/15/2009,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,Delhi Capitals,0,6,B Lee,OUTsurance Oval,Kumar Dharmasena,IL Howell
161,162,2009,Port Elizabeth,5/16/2009,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Chennai Super Kings,Mumbai Indians,0,7,ML Hayden,St George's Park,SK Tarapore,SJA Taufel
162,163,2009,Johannesburg,5/16/2009,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,Kolkata Knight Riders,0,6,RG Sharma,New Wanderers Stadium,RE Koertzen,S Ravi
163,164,2009,Johannesburg,5/17/2009,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,normal,0,Kings XI Punjab,Deccan Chargers,1,0,Yuvraj Singh,New Wanderers Stadium,S Ravi,RB Tiffin
164,165,2009,Bloemfontein,5/17/2009,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,normal,0,Delhi Capitals,Rajasthan Royals,14,0,AB de Villiers,OUTsurance Oval,SS Hazare,IL Howell
165,166,2009,Centurion,5/18/2009,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,Chennai Super Kings,0,7,BJ Hodge,SuperSport Park,SJA Taufel,RB Tiffin
166,167,2009,Johannesburg,5/19/2009,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,normal,0,Royal Challengers Bangalore,Delhi Capitals,0,7,JH Kallis,New Wanderers Stadium,IL Howell,RB Tiffin
167,168,2009,Durban,5/20/2009,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,Rajasthan Royals,0,4,LR Shukla,Kingsmead,BG Jerling,SJA Taufel
168,169,2009,Durban,5/20/2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,Chennai Super Kings,Kings XI Punjab,24,0,M Muralitharan,Kingsmead,BG Jerling,SJA Taufel
169,170,2009,Centurion,5/21/2009,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,Mumbai Indians,0,4,V Sehwag,SuperSport Park,IL Howell,S Ravi
170,171,2009,Centurion,5/21/2009,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,Deccan Chargers,12,0,MK Pandey,SuperSport Park,IL Howell,S Ravi
171,172,2009,Centurion,5/22/2009,Delhi Capitals,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,Delhi Capitals,0,6,AC Gilchrist,SuperSport Park,BR Doctrove,DJ Harper
172,173,2009,Johannesburg,5/23/2009,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,Chennai Super Kings,0,6,MK Pandey,New Wanderers Stadium,RE Koertzen,SJA Taufel
173,174,2009,Johannesburg,5/24/2009,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Deccan Chargers,Royal Challengers Bangalore,6,0,A Kumble,New Wanderers Stadium,RE Koertzen,SJA Taufel
174,175,2010,Mumbai,3/12/2010,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,normal,0,Kolkata Knight Riders,Deccan Chargers,11,0,AD Mathews,Dr DY Patil Sports Academy,RE Koertzen,RB Tiffin
175,176,2010,Mumbai,3/13/2010,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Mumbai Indians,Rajasthan Royals,4,0,YK Pathan,Brabourne Stadium,RE Koertzen,RB Tiffin
176,177,2010,Chandigarh,3/13/2010,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,Kings XI Punjab,0,5,G Gambhir,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,S Ravi
177,178,2010,Kolkata,3/14/2010,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,Royal Challengers Bangalore,0,7,MK Tiwary,Eden Gardens,Kumar Dharmasena,AM Saheba
178,179,2010,Chennai,3/14/2010,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,normal,0,Deccan Chargers,Chennai Super Kings,31,0,WPUJC Vaas,"MA Chidambaram Stadium, Chepauk",K Hariharan,DJ Harper
179,180,2010,Ahmedabad,3/15/2010,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,Rajasthan Royals,0,6,V Sehwag,"Sardar Patel Stadium, Motera",BG Jerling,RE Koertzen
180,181,2010,Bangalore,3/16/2010,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,normal,0,Royal Challengers Bangalore,Kings XI Punjab,0,8,JH Kallis,M Chinnaswamy Stadium,S Das,DJ Harper
181,182,2010,Kolkata,3/16/2010,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Chennai Super Kings,Kolkata Knight Riders,55,0,MS Dhoni,Eden Gardens,Kumar Dharmasena,AM Saheba
182,183,2010,Delhi,3/17/2010,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,normal,0,Mumbai Indians,Delhi Capitals,98,0,SR Tendulkar,Feroz Shah Kotla,BR Doctrove,SK Tarapore
183,184,2010,Bangalore,3/18/2010,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,Rajasthan Royals,0,10,JH Kallis,M Chinnaswamy Stadium,K Hariharan,DJ Harper
184,185,2010,Delhi,3/19/2010,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,normal,0,Chennai Super Kings,Delhi Capitals,0,5,ML Hayden,Feroz Shah Kotla,BR Doctrove,SK Tarapore
185,186,2010,Cuttack,3/19/2010,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Deccan Chargers,Kings XI Punjab,6,0,A Symonds,Barabati Stadium,BF Bowden,Marais Erasmus
186,187,2010,Ahmedabad,3/20/2010,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Rajasthan Royals,Kolkata Knight Riders,34,0,AA Jhunjhunwala,"Sardar Patel Stadium, Motera",RE Koertzen,RB Tiffin
187,188,2010,Mumbai,3/20/2010,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,Mumbai Indians,0,7,JH Kallis,Brabourne Stadium,Kumar Dharmasena,SS Hazare
188,189,2010,Cuttack,3/21/2010,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,normal,0,Deccan Chargers,Delhi Capitals,10,0,A Symonds,Barabati Stadium,BF Bowden,Marais Erasmus
189,190,2010,Chennai,3/21/2010,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,tie,0,Kings XI Punjab,Chennai Super Kings,0,0,J Theron,"MA Chidambaram Stadium, Chepauk",K Hariharan,DJ Harper
190,191,2010,Mumbai,3/22/2010,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,Kolkata Knight Riders,0,7,SR Tendulkar,Brabourne Stadium,SS Hazare,SJA Taufel
191,192,2010,Bangalore,3/23/2010,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,Chennai Super Kings,36,0,RV Uthappa,M Chinnaswamy Stadium,RE Koertzen,RB Tiffin
192,193,2010,Chandigarh,3/24/2010,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,0,Rajasthan Royals,Kings XI Punjab,31,0,AC Voges,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,SK Tarapore
193,194,2010,Mumbai,3/25/2010,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,Chennai Super Kings,0,5,SR Tendulkar,Brabourne Stadium,BF Bowden,AM Saheba
194,195,2010,Ahmedabad,3/26/2010,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,0,Rajasthan Royals,Deccan Chargers,0,8,YK Pathan,"Sardar Patel Stadium, Motera",Kumar Dharmasena,SJA Taufel
195,196,2010,Chandigarh,3/27/2010,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,Kings XI Punjab,39,0,MK Tiwary,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,S Ravi
196,197,2010,Bangalore,3/25/2010,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Delhi Capitals,Royal Challengers Bangalore,17,0,KM Jadhav,M Chinnaswamy Stadium,BG Jerling,RE Koertzen
197,198,2010,Ahmedabad,3/28/2010,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Rajasthan Royals,Chennai Super Kings,17,0,NV Ojha,"Sardar Patel Stadium, Motera",SS Hazare,SJA Taufel
198,199,2010,Mumbai,3/28/2010,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,Mumbai Indians,Deccan Chargers,41,0,Harbhajan Singh,Dr DY Patil Sports Academy,S Das,K Hariharan
199,200,2010,Delhi,3/29/2010,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,normal,0,Delhi Capitals,Kolkata Knight Riders,40,0,DA Warner,Feroz Shah Kotla,SS Hazare,SJA Taufel
200,201,2010,Mumbai,3/30/2010,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,Kings XI Punjab,0,4,SL Malinga,Brabourne Stadium,BR Doctrove,SK Tarapore
201,202,2010,Chennai,3/31/2010,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,0,Chennai Super Kings,Royal Challengers Bangalore,0,5,M Vijay,"MA Chidambaram Stadium, Chepauk",BG Jerling,RE Koertzen
202,203,2010,Delhi,3/31/2010,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,normal,0,Delhi Capitals,Rajasthan Royals,67,0,KD Karthik,Feroz Shah Kotla,Kumar Dharmasena,SJA Taufel
